parcel_id,relatedresourceid,eas_baseid,eas_subid,street_segment_id,address_name,house_number,address_number_suffix,street_name,street_type,full_street_name,unit_number,zipcode,longitude,latitude,wkt_point,point_type,location,address_type,retire_date,sync_status,ResourceID,street_object
3556072,,274994,480338,6577201,360 GUERRERO ST,360,,GUERRERO,ST,GUERRERO ST,,94103,-122.4249164,37.7654623,POINT (-122.4249164 37.7654623),Front Door,"(37.765462301337216, -122.4249163504534)",Official,2067-07-22,Unattempted,43da30c6-475a-11e8-99a4-3babeea3f36d,6577201|360||GUERRERO ST
3556072,,275707,481053,657000,1839 15TH ST,1839,,15TH,ST,15TH ST,,94103,-122.4249164,37.7654623,POINT (-122.4249164 37.7654623),Front Door,"(37.765462301337216, -122.4249163504534)",Official,2067-07-22,Unattempted,43dc4e24-475a-11e8-99a4-b32a6b868e91,657000|1839||15TH ST
451133,,282568,491849,9697000,1050 NORTH POINT ST,1050,,NORTH POINT,ST,NORTH POINT ST,,94109,-122.4248444,37.80536816,POINT (-122.4248444 37.80536816),Front Door,"(37.80536815906956, -122.42484441530809)",Official,2067-07-22,Unattempted,43f3c09a-475a-11e8-99a4-aff41f34520e,9697000|1050||NORTH POINTST
3751175,,365746,582486,170000,300 03RD ST,300,,03RD,ST,03RD ST,,94107,-122.3990823,37.78318025,POINT (-122.3990823 37.78318025),Front Door,"(37.783180254773946, -122.39908230192547)",Official,2292-01-18,Unattempted,44f26e38-475a-11e8-99a4-2bcae1bd6801,170000|300||03RD ST
3789973,,491259,741718,12655000,72 TOWNSEND ST,72,,TOWNSEND,ST,TOWNSEND ST,,94107,-122.3901359,37.78120413,POINT (-122.3901359 37.78120413),Front Door,"(37.78120412903933, -122.39013587978044)",Official,2044-03-03,Unattempted,43d66b12-475a-11e8-99a4-ff30e7155b7a,12655000|72||TOWNSEND ST
3789858,,,,,,,,,,,,,,,,,,,,,43d66b12-475a-11e8-99a4-ff30e7155b7a
5431B001,,489342,737429,225201,5800 03RD ST,5800,,03RD,ST,03RD ST,,94124,-122.3946922,37.72541336,POINT (-122.3946922 37.72541336),Front Door,"(37.725413365138714, -122.39469222570168)",Official,2039-02-22,Unattempted,43cff5ca-475a-11e8-99a4-3711ce64c0da,225201|5800||03RD ST
0,,477166,711178,9957000,251A ONONDAGA AVE,251,A,ONONDAGA,AVE,ONONDAGA AVE,,94112,-122.4423596,37.7227927,POINT (-122.4423596 37.7227927),Front Door,"(37.722792706057795, -122.44235958967326)",Official,2586-04-27,Unattempted,464268ce-475a-11e8-99a4-57e39ce70fc2,9957000|251||ONONDAGA AV
4228128,,465462,689836,7198000,1325 INDIANA ST,1325,,INDIANA,ST,INDIANA ST,,94107,-122.3904145,37.75367999,POINT (-122.3904145 37.75367999),Front Door,"(37.75367999270082, -122.39041453280929)",Official,2555-10-30,Unattempted,461e62bc-475a-11e8-99a4-0fc1cb6d288d,7198000|1325||INDIANA ST
0,,462384,683538,5837000,2820 FRANKLIN ST,2820,,FRANKLIN,ST,FRANKLIN ST,,94123,-122.4257635,37.80057856,POINT (-122.4257635 37.80057856),Front Door,"(37.80057855719735, -122.4257635146207)",Official,2548-05-16,Unattempted,4616f07c-475a-11e8-99a4-3b8b8a535d85,5837000|2820||FRANKLIN ST
0,,445748,665816,4758101,1931 DIAMOND ST,1931,,DIAMOND,ST,DIAMOND ST,,94131,-122.4350905,37.74162444,POINT (-122.4350905 37.74162444),Front Door,"(37.7416244416894, -122.43509046235219)",Official,2505-05-02,Unattempted,45e6c7da-475a-11e8-99a4-df2342402270,4758101|1931||DIAMOND ST
